volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,OAT,IAS,VSpd,NormAc,AltMSL,timestep,cluster,Master Index,date_diff,flight_length,number_flights_before
28.2,28.2,4.7,0.4,24,24,2.11,120.64,59.91,1174.5,173.51,181.17,184.68,172.65,1015.97,1079.26,1079.36,1023.04,-2.2,0,-1.56,-0.01,820.8,10,c_28,23517,-1,17673,0
28.2,28.2,4.7,0.4,24,24,2.15,120.56,60.1,1193.8,174.56,182.25,185.79,173.59,1020.8,1086.66,1087.02,1028.25,-2.2,0,23.67,0,820.9,11,c_28,23517,-1,17673,0
28.2,28.2,4.7,0.4,24,24,2.13,120.53,60.1,1192,174.99,182.73,186.27,173.96,1026.68,1091.76,1092.75,1032.83,-2.2,0,18.37,-0.03,820.4,12,c_28,23517,-1,17673,0
28.2,28.2,4.6,0.4,24,24,2.13,120.49,60.14,1194.3,175.48,183.19,186.77,174.36,1032.38,1097.83,1097.82,1037.37,-2.2,0,32.02,-0.03,820.3,13,c_28,23517,-1,17673,0
28.2,28.2,4.6,0.4,24,24,2.1,120.46,60.16,1195.9,176.02,183.77,187.36,174.91,1035.94,1104.2,1103.24,1040.82,-2.2,0,18.2,0.01,820.3,14,c_28,23517,-1,17673,0
28.2,28.2,4.6,0.4,24,24,2.13,120.42,60.14,1196.6,176.52,184.31,187.95,175.36,1039.17,1110.63,1107.24,1042.67,-2.2,0,-3.07,0.02,820.2,15,c_28,23517,-1,17673,0
28.2,28.2,4.6,0.4,24,24,2.15,120.35,60.24,1197.3,177.56,185.35,189,176.26,1047.45,1117.98,1113.34,1049.66,-2.2,0,-2.55,0.01,820,16,c_28,23517,-1,17673,0
28.2,28.2,4.6,0.4,24,24,2.09,120.31,60.2,1195.2,178.03,185.86,189.56,176.71,1049.33,1119.64,1116.7,1051.93,-2.2,0,-0.08,0,820.2,17,c_28,23517,-1,17673,0
28.2,28.2,4.6,0.4,24,24,2.14,120.27,60.2,1194.9,178.5,186.35,190.05,177.14,1052.93,1121.96,1120.48,1052.91,-2.2,0,-14.15,-0.02,819.6,18,c_28,23517,-1,17673,0
28.2,28.2,4.5,0.4,24,24,2.11,120.22,60.26,1196.5,179.06,186.94,190.69,177.64,1058.05,1123.24,1123.59,1055.2,-2.2,0,6.74,0.02,819.4,19,c_28,23517,-1,17673,0
28.2,28.2,4.5,0.4,24,24,2.13,120.18,60.33,1199,179.57,187.48,191.18,178.1,1059.84,1124.42,1128.31,1057.4,-2.2,0,32.42,-0.02,819.3,20,c_28,23517,-1,17673,0
28.2,28.2,4.5,0.4,24,24,2.11,120.13,60.35,1200.6,180.06,187.96,191.71,178.56,1061.91,1126.28,1133.14,1059.61,-2.2,0,-1.15,0.03,819.2,21,c_28,23517,-1,17673,0
28.2,28.2,4.4,0.4,24,24,2.1,120.09,60.26,1199.3,180.66,188.54,192.33,179.09,1064.23,1130.01,1137.51,1062.19,-2.2,0,-14.08,0.01,819.3,22,c_28,23517,-1,17673,0
28.2,28.2,4.4,0.4,24,24,2.06,120.04,60.32,1199.3,180.48,188.39,192.22,178.93,1069.53,1133.34,1140.13,1063.91,-2.2,0,1.61,0.01,818.9,23,c_28,23517,-1,17673,0
28.2,28.2,4.4,0.4,24,24,2.09,120,60.39,1200.5,180.81,188.72,192.6,179.18,1071.62,1134.97,1140.78,1064.9,-2.2,0,-13.29,0.02,819.2,24,c_28,23517,-1,17673,0
28.2,28.2,4.4,0.4,24,24,2.08,119.95,60.47,1205.8,181.41,189.32,193.12,179.71,1073.59,1137.42,1144.43,1067.19,-2.2,0,-28.47,0,819.1,25,c_28,23517,-1,17673,0
28.2,28.2,4.4,0.3,24,24,2.07,119.91,60.49,1207.4,181.92,189.84,193.67,180.19,1075.46,1139.33,1146.25,1069.88,-2.2,0,-22.99,0.02,819,26,c_28,23517,-1,17673,0
28.2,28.2,4.4,0.3,24,24,2.07,119.86,60.41,1204.5,182.5,190.4,194.32,180.71,1081.63,1141.32,1150.29,1072.06,-2.2,0,8.84,-0.02,818.9,27,c_28,23517,-1,17673,0
28.2,28.2,4.4,0.3,24,24,2.04,119.77,60.42,1205.1,183.51,191.42,195.36,181.63,1085.91,1145.92,1156.17,1072.64,-2.2,0,22.42,-0.03,818.9,28,c_28,23517,-1,17673,0
28.2,28.2,4.4,0.3,24,24,2.07,119.72,60.43,1201.4,184.03,191.95,195.93,182.18,1087.79,1150.24,1158.9,1075,-2.2,0,7.34,0.04,818.5,29,c_28,23517,-1,17673,0
28.2,28.2,4.3,0.3,24,24,2.02,119.68,60.31,1191,184.53,192.45,196.43,182.62,1091.11,1154.02,1162.43,1078.32,-2.2,0,18.34,-0.03,818.5,30,c_28,23517,-1,17673,0
28.2,28.2,4.4,0.3,24,24,2.03,119.63,60.48,1196.6,185.15,193.05,197.04,183.16,1096.68,1157.9,1167.85,1081.81,-2.2,0,-13.85,0,818.5,31,c_28,23517,-1,17673,0
28.2,28.2,4.3,0.3,24,24,2.02,119.59,60.49,1200.6,185.7,193.62,197.65,183.66,1098.63,1159.37,1171.46,1084.13,-2.2,0,-26.11,0.01,818.6,32,c_28,23517,-1,17673,0
28.2,28.2,4.3,0.3,24,24,2.03,119.54,60.57,1202.2,186.19,194.09,198.15,184.13,1098.46,1162.25,1173.91,1086.22,-2.2,0,-20.68,-0.02,818.7,33,c_28,23517,-1,17673,0
28.2,28.2,4.3,0.3,24,24,2.06,119.49,60.58,1202,186.71,194.6,198.65,184.57,1099.98,1165.3,1175.87,1088.43,-2.2,0,13.04,-0.01,818.3,34,c_28,23517,-1,17673,0
28.2,28.2,4.3,0.3,24,24,2.07,119.44,60.54,1201.6,187.29,195.19,199.28,185.13,1102.73,1167.29,1176.82,1090,-2.2,0,21.39,0.02,818.8,35,c_28,23517,-1,17673,0
28.2,28.2,4.3,0.3,24,24,2.05,119.4,60.54,1202.6,187.83,195.72,199.86,185.69,1103.19,1169.56,1178.75,1090.64,-2.2,0,17.86,0.01,818.8,36,c_28,23517,-1,17673,0
28.2,28.2,4.2,0.3,24,24,2.09,119.3,60.32,1192.3,188.14,195.97,200.14,185.88,1103.82,1169.17,1182.48,1088.9,-2.2,0,-23.26,-0.02,819,37,c_28,23517,-1,17673,0
28.2,28.2,4.2,0.3,24,24,1.9,119.25,58.84,1121.3,188.71,196.53,200.7,186.41,1099.21,1164,1176.44,1087.99,-2.2,0,-28.42,-0.01,819,38,c_28,23517,-1,17673,0
28.2,28.2,4.2,0.3,24,24,1.81,119.16,57.87,1039.9,189.81,197.6,201.86,187.44,1072.45,1132.44,1147.23,1075.65,-2.2,0,-9.26,-0.01,819.1,39,c_28,23517,-1,17673,0
28.2,28.2,4.2,0.3,24,24,1.82,119.11,57.93,1039,190.35,198.14,202.36,187.94,1061.42,1119.58,1132.13,1067.09,-2.2,0,11.78,-0.02,819,40,c_28,23517,-1,17673,0
28.1,28.1,4.1,0.3,24,24,1.82,119.07,57.97,1041.8,190.87,198.6,202.89,188.39,1052.88,1109.18,1117.97,1057.62,-2.2,0,8.9,0.01,819.1,41,c_28,23517,-1,17673,0
28.1,28.2,4.1,0.3,24,24,1.78,119.02,57.94,1040.7,191.38,199.1,203.4,188.92,1044.8,1099.1,1106.89,1050.41,-2.2,0,18.21,-0.01,819.2,42,c_28,23517,-1,17673,0
28.1,28.2,4.2,0.3,24,24,1.8,118.98,57.92,1039.3,191.99,199.66,204.01,189.42,1038.09,1092.18,1099.21,1045.34,-2.2,0,12.36,-0.01,819.2,43,c_28,23517,-1,17673,0
28.2,28.2,4,0.3,24,24,1.79,118.94,57.88,1038.6,192.54,200.17,204.57,189.92,1033.39,1084.25,1090.57,1040.34,-2.2,0,5.19,0,818.9,44,c_28,23517,-1,17673,0
28.2,28.2,4.1,0.3,24,24,1.82,118.9,57.94,1040.6,193.08,200.63,205.07,190.46,1028.48,1076.78,1080.98,1037.79,-2.2,0,15.49,0,819,45,c_28,23517,-1,17673,0
28.1,28.1,4.1,0.3,24,24,1.84,118.85,57.96,1041.4,193.56,201.1,205.54,190.92,1025.45,1071.58,1072.95,1034.59,-2.2,0,6.07,-0.03,819,46,c_28,23517,-1,17673,0
28.2,28.2,4,0.2,24,24,1.84,118.82,57.96,1041.9,194.21,201.65,206.15,191.46,1022.6,1066.99,1069.05,1032.23,-2.2,0,-1.19,0,819,47,c_28,23517,-1,17673,0
28.2,28.2,4.1,0.3,24,24,1.82,118.78,57.92,1040.3,194.73,202.13,206.67,191.98,1018.85,1064.48,1066.27,1030.22,-2.2,0,-17.5,0.02,818.9,48,c_28,23517,-1,17673,0
28.2,28.2,4,0.3,24,24,1.83,118.74,57.94,1040.9,195.22,202.62,207.13,192.49,1014.62,1060.9,1063.23,1028.35,-2.2,0,-30.25,0,818.5,49,c_28,23517,-1,17673,0
28.2,28.2,4,0.3,24,24,1.85,118.7,57.9,1039.3,195.73,203.04,207.64,192.94,1010.91,1057.06,1059.26,1026.26,-2.2,0,-21.25,-0.01,818.8,50,c_28,23517,-1,17673,0
28.1,28.2,4.1,0.3,24,24,1.86,118.67,57.95,1041.2,196.34,203.62,208.23,193.54,1009.51,1054.92,1055.07,1024.71,-2.2,0,-22.53,0,819.1,51,c_28,23517,-1,17673,0
28.2,28.2,4,0.2,24,24,1.84,118.63,58,1043.2,196.18,203.36,208.04,193.36,1007.58,1051.42,1051.03,1022.16,-2.2,0,-12.76,0,819,52,c_28,23517,-1,17673,0
28.2,28.2,4,0.3,24,24,1.8,118.59,57.96,1042.1,196.51,203.65,208.38,193.61,1006.11,1048.71,1048.41,1020.08,-2.2,0,19.41,0,819,53,c_28,23517,-1,17673,0
28.2,28.2,3.9,0.3,24,24,1.8,118.56,57.97,1041.4,197.03,204.08,208.81,194.07,1005.52,1047,1048.56,1019.56,-2.2,0,7.87,-0.01,818.9,54,c_28,23517,-1,17673,0
28.2,28.2,4,0.3,24,24,1.83,118.52,58.08,1046.6,197.61,204.59,209.37,194.59,1003.19,1044.48,1046.8,1020.44,-2.2,0,4.28,0.01,819.5,55,c_28,23517,-1,17673,0
28.1,28.2,4,0.2,24,24,1.83,118.48,58.02,1043.9,198.13,205.06,209.86,195.12,1000.32,1044.68,1046.45,1020.12,-2.2,0,12.63,-0.01,819.1,56,c_28,23517,-1,17673,0
28.2,28.2,3.9,0.2,24,24,1.83,118.45,58.03,1045.9,198.62,205.46,210.33,195.55,997.17,1045.11,1048.1,1020.28,-2.2,0,12.21,-0.01,818.7,57,c_28,23517,-1,17673,0
28.2,28.2,4,0.3,24,24,1.83,118.41,58.05,1045.5,199.09,205.93,210.78,196,994.29,1046.08,1046.7,1020.79,-2.2,0,6.1,-0.03,818.7,58,c_28,23517,-1,17673,0
28.2,28.2,4,0.2,24,24,1.83,118.38,58.07,1047.4,199.55,206.32,211.25,196.47,991.94,1047.13,1045.04,1021.33,-2.2,0,25.41,-0.02,818.7,59,c_28,23517,-1,17673,0
28.2,28.2,4,0.2,24,24,1.85,118.35,58.01,1046,200.13,206.84,211.82,197.02,990.16,1047.18,1042.96,1020.86,-2.2,0,28.89,0,818.7,60,c_28,23517,-1,17673,0
28.1,28.2,3.8,0.2,24,24,1.86,118.32,58,1044.6,200.55,207.17,212.19,197.36,990.63,1047.85,1041.07,1019.76,-2.2,0,12.82,0.01,818.3,61,c_28,23517,-1,17673,0
28.2,28.2,4,0.2,24,24,1.82,118.28,58,1043.6,201.07,207.69,212.7,197.87,992.5,1047.52,1040.25,1020.49,-2.2,0,15.84,0,818.7,62,c_28,23517,-1,17673,0
28.2,28.2,3.9,0.2,24,24,1.81,118.25,57.99,1043.3,201.56,208.13,213.15,198.31,993.56,1046.02,1038.68,1021.1,-2.2,0,-6.24,-0.01,819.4,63,c_28,23517,-1,17673,0
28.2,28.2,3.9,0.2,24,24,1.81,118.22,58,1045.1,202.03,208.51,213.56,198.79,994.29,1044.47,1039.02,1020.55,-2.2,0,-19.44,0,819.5,64,c_28,23517,-1,17673,0
28.2,28.2,3.9,0.2,24,24,1.83,118.19,58,1044.4,202.49,208.94,214.04,199.16,998.37,1043.91,1038.87,1019.59,-2.2,0,-16.41,0.01,819.6,65,c_28,23517,-1,17673,0
28.1,28.2,3.8,0.2,24,24,1.87,118.15,58.05,1046.7,202.94,209.34,214.45,199.58,998.76,1043.44,1041.24,1018.3,-2.2,0,-9.36,0.01,819.7,66,c_28,23517,-1,17673,0
28.2,28.2,3.8,0.2,24,24,1.84,118.12,58,1045.5,203.51,209.82,214.99,200.09,998.27,1042.09,1040.57,1016.91,-2.2,0,-0.47,0.01,819.8,67,c_28,23517,-1,17673,0
28.2,28.2,3.9,0.2,24,24,1.83,118.09,57.99,1042.8,203.97,210.24,215.44,200.52,996.72,1041.94,1039.95,1017.05,-2.2,0,2.11,0,819.5,68,c_28,23517,-1,17673,0
28.2,28.2,3.8,0.2,24,24,1.81,118.06,58,1043,204.43,210.62,215.86,200.93,993.48,1042.6,1039.53,1017.21,-2.2,0,-4.65,0,818.2,69,c_28,23517,-1,17673,0
28.2,28.2,3.9,0.2,24,24,1.84,118.03,57.97,1041.2,204.16,210.35,215.62,200.72,990.7,1042.42,1038.35,1016.84,-2.2,0,4.05,0,818.1,70,c_28,23517,-1,17673,0
28.1,28.2,3.8,0.2,24,24,1.85,118,58.01,1043.7,204.45,210.56,215.84,200.93,989.04,1043.8,1039.07,1015.16,-2.2,0,12.51,-0.01,818,71,c_28,23517,-1,17673,0
28.2,28.2,3.9,0.2,24,24,1.82,117.97,57.99,1041.6,204.88,210.91,216.26,201.32,988.47,1044.74,1038.64,1014.19,-2.2,0,10.6,-0.02,817.9,72,c_28,23517,-1,17673,0
28.2,28.2,3.8,0.2,24,24,1.82,117.94,57.99,1042.4,205.27,211.29,216.69,201.71,987.72,1044.74,1037.07,1013.83,-2.2,0,8.41,0,817.6,73,c_28,23517,-1,17673,0
28.2,28.2,3.9,0.2,24,24,1.84,117.91,58.01,1044.2,205.8,211.77,217.17,202.21,986.46,1044.33,1036.91,1011.59,-2.2,0,-11.98,-0.02,817.9,74,c_28,23517,-1,17673,0
28.2,28.2,3.7,0.2,24,24,1.87,117.88,58.06,1044.7,206.26,212.2,217.6,202.61,987.05,1043.58,1037.65,1010.46,-2.2,0,-29.46,-0.03,819,75,c_28,23517,-1,17673,0
28.1,28.2,3.8,0.2,24,24,1.84,117.85,58.06,1044.7,206.67,212.58,218,202.99,987.21,1042.32,1037.48,1010.94,-2.2,0,-6.53,0.01,819.1,76,c_28,23517,-1,17673,0
28.2,28.2,3.8,0.2,24,24,1.85,117.82,57.97,1042.3,207.06,212.94,218.43,203.38,986.86,1041.11,1036.81,1010.98,-2.2,0,-12.81,-0.01,819.2,77,c_28,23517,-1,17673,0
28.2,28.2,3.8,0.2,24,24,1.83,117.79,58.02,1042.6,207.49,213.29,218.82,203.8,987.16,1040.96,1035.87,1011.79,-2.2,0,-0.78,0,819.2,78,c_28,23517,-1,17673,0
28.2,28.2,3.8,0.2,24,24,1.86,117.76,57.99,1042.5,207.9,213.67,219.21,204.12,987.13,1041.16,1034.7,1012.51,-2.2,0,-3.37,0,819.6,79,c_28,23517,-1,17673,0
28.2,28.2,3.8,0.2,24,24,1.86,117.73,57.94,1040.8,208.27,214.05,219.59,204.51,987.57,1041.13,1033.8,1013.07,-2.2,0,-2.25,-0.01,819.2,80,c_28,23517,-1,17673,0
28.1,28.2,3.7,0.2,24,24,1.83,117.7,58,1042.7,208.67,214.39,219.93,204.87,988.12,1040.84,1033.6,1012.27,-2.2,0,-13.91,0.02,818.3,81,c_28,23517,-1,17673,0
28.2,28.2,3.7,0.2,24,24,1.85,117.67,58.02,1043,209.08,214.72,220.34,205.2,987.9,1040.11,1032.67,1013.47,-2.2,0,-15.93,-0.02,818.2,82,c_28,23517,-1,17673,0
28.2,28.2,3.7,0.2,24,24,1.86,117.64,57.95,1040.7,209.52,215.1,220.73,205.64,988.4,1039.79,1034.37,1013.54,-2.2,0,-16,-0.01,818.1,83,c_28,23517,-1,17673,0
28.2,28.2,3.7,0.2,24,24,1.86,117.61,57.89,1038.5,209.97,215.54,221.24,206.04,991.46,1040.09,1035.37,1013.46,-2.2,0,-1.86,-0.01,836.8,84,c_28,23517,-1,17673,0
28.2,28.2,3.7,0.2,24,24,1.81,117.58,57.99,1040.9,210.33,215.8,221.52,206.31,993.89,1041.01,1035.3,1012.48,-2.2,0,4.73,0,836.3,85,c_28,23517,-1,17673,0
28.2,28.2,3.6,0.2,24,24,1.87,117.55,58.01,1043.4,210.7,216.13,221.87,206.66,994.12,1040.42,1034.38,1012.71,-2.2,0,2.84,0.01,837.1,86,c_28,23517,-1,17673,0
28.2,28.2,3.6,0.2,24,24,1.81,117.53,58.09,1047.4,211.16,216.55,222.31,207.07,993.64,1039.7,1032.36,1013.12,-2.2,0,6.1,-0.02,837.9,87,c_28,23517,-1,17673,0
28.2,28.2,3.6,0.2,24,24,1.86,117.5,58.15,1049.8,211.58,216.9,222.69,207.51,991.98,1039.75,1031.58,1011.6,-2.2,0,-4.85,0,838,88,c_28,23517,-1,17673,0
28.2,28.2,3.6,0.2,24,24,1.84,117.47,58.13,1049.3,211.92,217.25,223.02,207.81,990.55,1041.26,1031.33,1011.11,-2.2,0,-1.19,0.01,838.1,89,c_28,23517,-1,17673,0
28.2,28.2,3.6,0.2,24,24,1.85,117.45,58.07,1047,212.31,217.56,223.42,208.16,989.22,1041.91,1031.38,1010.84,-2.2,0,26.57,-0.01,838.1,90,c_28,23517,-1,17673,0
28.2,28.2,3.6,0.2,24,24,1.81,117.42,58.1,1049,212.69,217.91,223.81,208.46,988.67,1041.78,1032.94,1011.05,-2.2,0,4.37,0,838,91,c_28,23517,-1,17673,0
28.2,28.2,3.7,0.2,24,24,1.87,117.4,58.07,1047.5,213.02,218.23,224.17,208.8,988.2,1040.34,1034.18,1010.4,-2.2,0,-8,0,837.5,92,c_28,23517,-1,17673,0
28.2,28.2,3.5,0.2,24,24,1.84,117.37,58.04,1044.6,213.46,218.52,224.49,209.15,987.76,1042.32,1035.02,1010.78,-2.2,0,13.71,-0.01,836.7,93,c_28,23517,-1,17673,0
28.2,28.2,3.6,0.2,24,24,1.82,117.35,58.04,1045.8,213.14,218.19,224.19,208.86,986.91,1041.66,1034.63,1011.4,-2.2,0,30.76,0.01,836.4,94,c_28,23517,-1,17673,0
28.2,28.2,3.6,0.2,24,24,1.85,117.32,58.03,1044,213.33,218.34,224.38,208.95,985.96,1040.84,1034.31,1011.47,-2.2,0,2.66,0,836,95,c_28,23517,-1,17673,0
28.2,28.2,3.5,0.2,24,24,1.85,117.3,57.97,1040.2,213.66,218.65,224.69,209.26,986.83,1040.69,1033.44,1011.84,-2.2,0,3.93,0.01,835.8,96,c_28,23517,-1,17673,0
28.2,28.2,3.5,0.2,24,24,1.84,117.28,57.89,1037.4,214.01,218.95,225.05,209.58,987.23,1041.16,1033.03,1012.11,-2.2,0,-13.9,-0.01,835.7,97,c_28,23517,-1,17673,0
28.2,28.2,3.6,0.2,24,24,1.83,117.25,57.94,1039,214.38,219.28,225.4,209.89,986.76,1042.19,1032.06,1012.37,-2.2,0,-19.43,-0.02,836.1,98,c_28,23517,-1,17673,0
28.2,28.2,3.6,0.2,24,24,1.83,117.23,57.96,1039.4,214.81,219.67,225.82,210.28,988.02,1041.9,1031.35,1012.86,-2.2,0,-6.59,0.02,836.6,99,c_28,23517,-1,17673,0
28.2,28.2,3.5,0.2,24,24,1.85,117.21,57.93,1039.1,215.1,219.91,226.07,210.51,988.08,1041.52,1031.41,1012.76,-2.2,0,17.33,-0.01,863.3,100,c_28,23517,-1,17673,0
28.2,28.2,3.5,0.2,24,24,1.87,117.18,57.97,1040.3,215.44,220.2,226.4,210.81,988.9,1040.39,1031.32,1012.63,-2.2,0,18.66,-0.03,842.2,101,c_28,23517,-1,17673,0
28.2,28.2,3.5,0.2,24,24,1.88,117.16,57.94,1038.8,215.8,220.49,226.71,211.12,989.42,1040.5,1030.7,1011.81,-2.2,0,-1.53,-0.01,840.8,102,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.2,24,24,1.88,117.14,57.95,1041.4,216.13,220.81,227.07,211.39,989.89,1039.69,1030.23,1010.33,-2.2,0,-4.36,-0.01,840.9,103,c_28,23517,-1,17673,0
28.2,28.2,3.5,0.2,24,24,1.83,117.11,57.94,1040.6,216.48,221.11,227.39,211.7,989.63,1039.44,1030.51,1009.46,-2.2,0,-3.95,-0.02,840.7,104,c_28,23517,-1,17673,0
28.2,28.2,3.5,0.2,24,24,1.85,117.09,57.9,1037.5,216.8,221.42,227.73,212,993.55,1038.3,1032.17,1009.18,-2.2,0,0.33,0,840.3,105,c_28,23517,-1,17673,0
28.2,28.2,3.5,0.2,24,24,1.86,117.07,57.93,1039,217.14,221.72,228.04,212.3,993.45,1037.33,1032.92,1008.94,-2.2,0,14.84,-0.03,840.2,106,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.2,24,24,1.85,117.05,57.9,1036.7,217.48,222.02,228.37,212.6,992.24,1037.3,1032.68,1008.69,-2.2,0,17.81,-0.01,840.2,107,c_28,23517,-1,17673,0
28.2,28.2,3.5,0.2,24,24,1.83,117.02,57.84,1033.7,217.83,222.3,228.68,212.89,990.94,1037.99,1031.2,1010.11,-2.2,0,6.16,0.02,840.2,108,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.2,24,24,1.82,117,57.91,1038.1,218.15,222.57,228.98,213.14,991.27,1038.08,1030.75,1011,-2.2,0,0.25,0,840.3,109,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.2,24,24,1.84,116.98,57.91,1038,218.5,222.84,229.31,213.44,990.9,1038.73,1030.34,1010.31,-2.2,0,4.06,-0.01,840.5,110,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.2,24,24,1.84,116.96,57.92,1037.5,218.8,223.12,229.61,213.69,990.29,1037.81,1030.61,1009,-2.2,0,13.23,-0.02,840.4,111,c_28,23517,-1,17673,0
28.2,28.2,3.5,0.2,24,24,1.87,116.94,57.95,1039.6,219.15,223.41,229.95,213.98,989.2,1036.89,1031.37,1008.18,-2.2,0,-26.17,0.01,840.4,112,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.1,24,24,1.87,116.92,57.97,1041.9,219.48,223.72,230.22,214.27,988.59,1037.92,1031.83,1008.25,-2.2,0,-31.8,-0.02,840.4,113,c_28,23517,-1,17673,0
28.2,28.2,3.5,0.1,24,24,1.82,116.9,57.87,1036.6,219.81,223.99,230.52,214.53,989.66,1039.68,1032.92,1007.36,-2.2,0,-17.51,-0.02,840.4,114,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.2,24,24,1.85,116.88,57.96,1039.3,220.14,224.24,230.83,214.81,989.83,1040.18,1033.28,1006.54,-2.2,0,-0.12,-0.01,840.3,115,c_28,23517,-1,17673,0
28.2,28.2,3.3,0.2,24,24,1.83,116.86,57.92,1039.4,220.44,224.5,231.11,215.07,989.71,1039.54,1032.54,1007.01,-2.2,0,-3.94,-0.02,840.1,116,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.1,24,24,1.86,116.84,57.99,1043,220.78,224.79,231.47,215.36,991.71,1038.52,1032.19,1007.46,-2.2,0,-5.89,0,840,117,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.1,24,24,1.84,116.82,57.94,1045.1,221.09,225.05,231.75,215.61,992.85,1038.65,1031.22,1007.66,-2.2,0,22.75,0,839.9,118,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.1,24,24,1.87,116.8,57.98,1044,221.41,225.27,232.01,215.86,993.93,1040.67,1030.52,1007.67,-2.2,0,9.67,-0.01,840.1,119,c_28,23517,-1,17673,0
28.2,28.2,3.3,0.1,24,24,1.84,116.78,57.95,1041.9,221.74,225.56,232.31,216.14,994.94,1040.34,1030.17,1005.94,-2.2,0,6.26,0,840,120,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.1,24,24,1.85,116.77,57.93,1040.6,222.07,225.79,232.65,216.37,994.38,1038.64,1029.75,1004.46,-2.2,0,22.07,0.01,840.3,121,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.2,24,24,1.9,116.74,57.9,1037.4,222.37,226.04,232.91,216.64,994.91,1038.94,1030.93,1003.77,-2.2,0,16.65,0.03,840.7,122,c_28,23517,-1,17673,0
28.2,28.2,3.3,0.2,24,24,1.86,116.73,57.85,1036.1,222.69,226.31,233.23,216.9,995.8,1040.14,1032.33,1003.45,-2.2,0,16.57,0,840.5,123,c_28,23517,-1,17673,0
28.2,28.2,3.3,0.1,24,24,1.87,116.71,57.88,1037.5,223.03,226.57,233.49,217.11,996.64,1040.12,1032.86,1003.38,-2.2,0,4.12,0,840.5,124,c_28,23517,-1,17673,0
28.2,28.2,3.4,0.1,24,24,1.85,116.69,57.75,1031.1,223.34,226.82,233.76,217.37,1000.71,1039.82,1033.81,1004.05,-2.2,0,6.23,0,840.6,125,c_28,23517,-1,17673,0
